Time (min),Abs
0,0.473175228
0.016666666,0.464505523
0.033333317,0.451353848
0.049999997,0.440685183
0.066666648,0.429407418
0.083333329,0.42109561
0.099999979,0.422043085
0.11666666,0.417310357
0.133333311,0.417364299
0.149999991,0.417394519
0.166666642,0.42056632
0.183333323,0.420366406
0.199999973,0.419869483
0.216666654,0.419148117
0.233333305,0.420953661
0.249999985,0.420596451
0.266666636,0.422501624
0.283333317,0.42082873
0.299999968,0.422166616
0.316666678,0.424646497
0.333333329,0.425993621
0.349999979,0.42356661
0.36666663,0.416411132
0.383333341,0.420328051
0.399999991,0.418922126
0.416666642,0.422675461
0.433333293,0.419955939
0.450000003,0.419988394
0.466666654,0.422858179
0.483333305,0.421716422
0.499999956,0.419412881
0.516666666,0.418482542
0.533333317,0.41770795
0.549999968,0.420392484
0.566666678,0.419414818
0.583333329,0.418432385
0.599999979,0.421998501
0.61666663,0.420019865
0.633333341,0.417474777
0.649999991,0.415357977
0.666666642,0.417402476
0.683333293,0.419157445
0.700000003,0.417780668
0.716666654,0.414403766
0.733333305,0.416598558
0.749999956,0.416934431
0.766666666,0.417865455
0.783333316,0.412962258
0.799999967,0.414306223
0.816666618,0.416880935
0.833333269,0.413027585
0.850000039,0.416196793
0.866666689,0.413087279
0.88333334,0.414805681
0.899999991,0.416392833
0.916666642,0.411338091
0.933333293,0.412899554
0.949999943,0.413672626
0.966666594,0.413168043
0.983333364,0.414214283
1.000000015,0.412102163
1.016666666,0.414634138
1.033333316,0.412624389
1.049999967,0.411639959
1.066666618,0.411813915
1.083333269,0.409659416
1.100000039,0.411601782
1.116666689,0.407936394
1.13333334,0.409093946
1.149999991,0.40729171
1.166666642,0.406223327
1.183333293,0.40491721
1.199999943,0.406209171
1.216666594,0.406631142
1.233333364,0.402306855
1.250000015,0.40516448
1.266666666,0.405405551
1.283333316,0.404716522
1.299999967,0.407260269
1.316666618,0.406157821
1.333333269,0.403661728
1.350000039,0.404434651
1.366666689,0.403451383
1.38333334,0.404683083
1.399999991,0.405995727
1.416666642,0.405097276
1.433333293,0.401138485
1.449999943,0.3986803
1.466666594,0.401821554
1.483333364,0.397111565
1.500000015,0.396979749
1.516666666,0.398104429
1.533333316,0.393673211
1.549999967,0.398427099
1.566666618,0.401799291
1.583333269,0.40081355
1.600000039,0.399666816
1.616666689,0.398467869
1.63333334,0.39393276
1.649999991,0.396682739
1.666666642,0.394580305
1.683333293,0.399110526
1.699999943,0.396881551
1.716666594,0.396757633
1.733333364,0.394690365
1.750000015,0.398546726
1.766666666,0.394407362
1.783333436,0.393564671
1.800000086,0.395619273
1.816666737,0.392096281
1.833333388,0.393610567
1.850000039,0.396012485
1.866666689,0.394914806
1.88333334,0.390416712
1.899999991,0.38776505
1.91666688,0.394022435
1.933333531,0.391139627
1.950000182,0.391426504
1.966666833,0.392398775
1.983333483,0.388695359
2.000000134,0.391598642
2.016666785,0.391500652
2.033333436,0.396149039
2.050000086,0.390779436
2.066666737,0.392612815
2.083333388,0.390620023
2.100000039,0.388892382
2.116666689,0.391768456
2.13333334,0.390445083
2.149999991,0.390031427
2.16666688,0.387739152
2.183333531,0.385010392
2.200000182,0.385023803
2.216666833,0.386292726
2.233333483,0.387027025
2.250000134,0.385823041
2.266666785,0.387859285
2.283333436,0.384163976
2.300000086,0.387869537
2.316666737,0.386224508
2.333333388,0.38615039
2.350000039,0.388732076
2.366666689,0.384489417
2.38333334,0.381196231
2.399999991,0.385781229
2.41666688,0.384105146
2.433333531,0.383283436
2.450000182,0.384505004
2.466666833,0.385688812
2.483333483,0.385359108
2.500000134,0.384598494
2.516666785,0.383279175
2.533333436,0.382104605
2.550000086,0.381375581
2.566666737,0.380953133
2.583333388,0.38193503
2.600000039,0.381576121
2.616666689,0.381218016
2.63333334,0.378474444
2.649999991,0.382546663
2.66666688,0.379872263
2.683333531,0.380356073
2.700000182,0.380092084
2.716666833,0.383212239
2.733333483,0.379964501
2.750000134,0.379212111
2.766666785,0.380453199
2.783333436,0.378978849
2.800000086,0.37761572
2.816666737,0.376884401
2.833333388,0.377608001
2.850000039,0.377812803
2.866666689,0.375938356
2.88333334,0.379267037
2.899999991,0.377821714
2.91666688,0.376872689
2.933333531,0.383556277
2.950000182,0.37882179
2.966666833,0.376835913
2.983333483,0.379688829
3.000000134,0.381582677
3.016666785,0.385028184
3.033333436,0.372046918
3.050000086,0.372594386
3.066666737,0.377220899
3.083333388,0.368429631
3.100000039,0.368864864
3.116666689,0.384471536
3.13333334,0.388472319
3.149999991,0.390682042
3.16666688,0.388801605
3.183333531,0.389585525
3.200000182,0.387129754
3.216666833,0.389513522
3.233333483,0.385357857
3.250000134,0.386423886
3.266666785,0.381183475
3.283333436,0.370100975
3.300000086,0.379884988
3.316666737,0.3775087
3.333333388,0.375367403
3.350000039,0.377212971
3.366666689,0.371246308
3.38333334,0.386101544
3.399999991,0.381833315
3.41666688,0.377596319
3.433333531,0.373149663
3.450000182,0.376296967
3.466666833,0.376453191
3.483333483,0.371100217
3.500000134,0.370924294
3.516666785,0.371416867
3.533333436,0.372865588
3.550000086,0.370437592
3.566666737,0.370945752
3.583333388,0.368114114
3.600000039,0.370459378
3.616666689,0.371879309
3.63333334,0.374324113
3.649999991,0.372365475
3.66666688,0.369626939
3.683333531,0.372133583
3.700000182,0.367146283
3.716666833,0.369524986
3.733333483,0.370161653
3.750000134,0.368057936
3.766666785,0.367086351
3.783333197,0.36513266
3.800000086,0.364550769
3.816666499,0.366273969
3.833333388,0.365220279
3.8499998,0.363156945
3.866666689,0.366746664
3.883333102,0.365655661
3.899999991,0.364253372
3.916666403,0.363331229
3.933333293,0.36389786
3.949999705,0.36401096
3.966666594,0.364874363
3.983333006,0.363500655
3.999999896,0.365531772
4.016666308,0.363196552
4.033333197,0.36369139
4.050000086,0.363666683
4.066666499,0.364134252
4.083333388,0.361605823
4.0999998,0.362666369
4.116666689,0.364384621
4.133333102,0.362508863
4.149999991,0.359943599
4.166666403,0.364806414
4.183333293,0.361251265
4.199999705,0.361866474
4.216666594,0.363802195
4.233333006,0.358278155
4.249999896,0.360707343
4.266666308,0.359227687
4.283333197,0.362990528
4.300000086,0.363105446
4.316666499,0.356910348
4.333333388,0.357660741
4.3499998,0.355084717
4.366666689,0.359816372
4.383333102,0.358666152
4.399999991,0.358137876
4.416666403,0.35798806
4.433333293,0.355839998
4.449999705,0.354973942
4.466666594,0.355296105
4.483333006,0.35595721
4.499999896,0.354623765
4.516666308,0.355299264
4.533333197,0.360995829
4.550000086,0.35412851
4.566666499,0.357019842
4.583333388,0.359814376
4.5999998,0.355413556
4.616666689,0.354746848
4.633333102,0.35347873
4.649999991,0.354311824
4.666666403,0.35649398
4.683333293,0.356069267
4.699999705,0.356052101
4.716666594,0.353438407
4.733333006,0.353438169
4.749999896,0.350920796
4.766666308,0.350244671
4.783333197,0.352142632
4.800000086,0.3521626
4.816666499,0.353047699
4.833333388,0.35434702
4.8499998,0.348980486
4.866666689,0.352193207
4.883333102,0.353177041
4.899999991,0.351770014
4.916666403,0.351944566
4.933333293,0.351964325
4.949999705,0.351234704
4.966666594,0.350475341
4.983333006,0.356986553
4.999999896,0.355003536
5.016666308,0.352553725
5.033333197,0.349172324
5.050000086,0.350989282
5.066666499,0.348831415
5.083333388,0.349440783
5.0999998,0.349006653
5.116666689,0.350647837
5.133333102,0.347786963
5.149999991,0.348517537
5.166666403,0.351825744
5.183333293,0.348159313
5.199999705,0.346555501
5.216666594,0.348571092
5.233333006,0.346252233
5.249999896,0.349856228
5.266666308,0.348860681
5.283333197,0.34513545
5.300000086,0.343184769
5.316666499,0.346479714
5.333333388,0.347781926
5.3499998,0.344302148
5.366666689,0.34339419
5.383333102,0.345776379
5.399999991,0.345275402
5.416666403,0.340622485
5.433333293,0.344032764
5.449999705,0.343601674
5.466666594,0.341655612
5.483333006,0.344472766
5.499999896,0.344458222
5.516666308,0.342466235
5.533333197,0.345645875
5.550000086,0.3400051
5.566666499,0.339265496
5.583333388,0.344154328
5.5999998,0.344537258
5.616666689,0.343063742
5.633333102,0.344860911
5.649999991,0.340069324
5.666666403,0.341331333
5.683333293,0.337854922
5.699999705,0.3396945
5.716666594,0.340576589
5.733333006,0.340343237
5.749999896,0.33975172
5.766666308,0.339225471
5.783333197,0.339592129
5.800000086,0.342026711
5.816666499,0.33858636
5.833333388,0.337656409
5.8499998,0.337845027
5.866666689,0.340625882
5.883333102,0.341033638
5.899999991,0.337502688
5.916666403,0.336816251
5.933333293,0.337053418
5.949999705,0.340846777
5.966666594,0.340427458
5.983333006,0.33586666
5.999999896,0.336409748
6.016666308,0.337958574
6.033333197,0.338567257
6.050000086,0.336708546
6.066666499,0.334466159
6.083333388,0.340139151
6.0999998,0.336075455
6.116666689,0.338586688
6.133333102,0.336517394
6.149999991,0.336382508
6.166666403,0.334637463
6.183333293,0.334407032
6.199999705,0.335277438
6.216666594,0.333003581
6.233333006,0.332658261
6.249999896,0.333907545
6.266666308,0.335442692
6.283333197,0.336878091
6.300000086,0.332306325
6.316666499,0.334935874
6.333333388,0.333157301
6.3499998,0.334270954
6.366666689,0.333513796
6.383333102,0.331157953
6.399999991,0.333880186
6.416666403,0.330753028
6.433333293,0.330330819
6.449999705,0.325915605
6.466666594,0.330444396
6.483333006,0.333430827
6.499999896,0.328287542
6.516666308,0.332279533
6.533333197,0.331332028
6.550000086,0.33107245
6.566666499,0.330763012
6.583333388,0.332915187
6.5999998,0.329844207
6.616666689,0.328803361
6.633333102,0.330664724
6.649999991,0.327742219
6.666666403,0.331014305
6.683333293,0.33008197
6.699999705,0.330190659
6.716666594,0.327728599
6.733333006,0.329929799
6.749999896,0.329268247
6.766666308,0.329722136
6.783333197,0.333436906
6.800000086,0.334512889
6.816666499,0.324322671
6.833333388,0.326826662
6.8499998,0.332016826
6.866666689,0.339483142
6.883333102,0.339802951
6.899999991,0.331845194
6.916666403,0.335559011
6.933333293,0.339376181
6.949999705,0.336939246
6.966666594,0.328716844
6.983333006,0.328357279
6.999999896,0.324413896
7.016666308,0.334372938
7.033333197,0.329883218
7.050000086,0.325263947
7.066666499,0.333109111
7.083333388,0.32404834
7.0999998,0.324235231
7.116666689,0.323865116
7.133333102,0.329028666
7.149999991,0.321980238
7.166666403,0.323725402
7.183333293,0.327137262
7.199999705,0.322536349
7.216666594,0.322462529
7.233333006,0.320672125
7.249999896,0.325469375
7.266666308,0.323358387
7.283333197,0.327934742
7.300000086,0.324449539
7.316666499,0.328898132
7.333333388,0.324690491
7.3499998,0.321650893
7.366666689,0.326366276
7.383333102,0.322248995
7.399999991,0.321182311
7.416666403,0.322496235
7.433333293,0.320658237
7.449999705,0.321960539
7.466666594,0.320462912
7.483333006,0.321845114
7.499999896,0.323318452
7.516666308,0.322000146
