Time,Abs,Temp,Abs 2,Temp2
0,0.461204797,289.966023,#N/A,#N/A
1,0.461348712,289.94493,0.319442421,311.332415
2,0.461437523,289.934224,0.314108044,311.327592
4,0.458222538,289.9386,#N/A,#N/A
5,0.460105121,289.9386,0.316877991,311.327435
6,0.459536612,289.900331,0.313216656,311.348497
7,0.454040408,289.979564,#N/A,#N/A
10,0.456154555,289.950078,#N/A,#N/A
11,0.453259319,289.96117,0.308966756,311.316324
14,0.476213276,289.964288,#N/A,#N/A
16,0.484747976,289.964948,#N/A,#N/A
17,0.485823244,289.964948,0.314226329,311.262371
19,0.454593271,289.962151,#N/A,#N/A
20,0.482172459,289.979755,0.313095778,311.296197
21,0.452395022,289.962481,#N/A,#N/A
23,0.471165836,290.001481,#N/A,#N/A
25,0.473007441,289.966157,0.31209594,311.271051
26,0.469802082,289.966157,#N/A,#N/A
28,0.463003665,290.001726,#N/A,#N/A
31,0.4593831,290.027859,#N/A,#N/A
33,0.457690537,290.006005,0.305005223,311.250465
35,0.4551045,290.027451,0.304968357,311.221828
38,0.455623776,290.015247,0.302817047,311.223325
39,0.452486366,290.027411,#N/A,#N/A
41,0.456109762,290.013175,0.294867724,311.223958
42,0.452046931,290.022131,#N/A,#N/A
44,0.4540748,290.031138,#N/A,#N/A
46,0.448163956,290.049774,0.293150216,311.203484
47,0.446419567,290.053814,#N/A,#N/A
48,0.452236325,290.010161,0.28862527,311.175348
50,0.454798669,290.053242,#N/A,#N/A
52,0.451719433,290.077771,#N/A,#N/A
53,0.448364914,290.067468,0.292330712,311.147364
55,0.450194001,290.065366,0.28489694,311.153581
56,0.451143056,290.058048,0.290089607,311.116757
58,0.447099239,290.084051,0.287015587,311.104859
59,0.447128803,290.066558,0.285017341,311.126217
60,0.444393337,290.107404,#N/A,#N/A
62,0.446275294,290.075716,#N/A,#N/A
63,0.445658028,290.110592,0.283679545,311.088173
64,0.445309997,290.050849,#N/A,#N/A
65,0.447148442,290.103554,0.281696737,311.083307
66,0.445903629,290.103554,0.285655499,311.071026
67,0.441770017,290.113309,#N/A,#N/A
68,0.443724632,290.122988,0.277532071,311.056751
69,0.445277542,290.099552,#N/A,#N/A
71,0.448054075,290.114425,#N/A,#N/A
74,0.449341118,290.139225,0.275685877,311.038437
75,0.455296189,290.151583,0.277884513,311.043452
