Time,Abs1,Temp1,Abs2,Temp2,Abs3,Temp3
0,0.527942359,289.5475872,0.425442606,311.477492,0.487159336,289.57471
2,0.50095731,289.5536515,0.411907733,311.493782,0.470125395,289.555132
5,0.499702096,289.5627479,0.409811676,311.482808,0.456585932,289.565228
6,0.496286035,289.56578,0.412227422,311.487028,0.452429697,289.536563
8,0.498119056,289.5718443,0.413951188,311.509308,0.44833737,289.533678
13,0.49469021,289.587005,0.412039876,311.488082,0.449286893,289.571875
14,0.496683717,289.5900372,0.411098063,311.493838,0.454479516,289.578202
16,0.500018239,289.5961015,0.403058648,311.500147,0.45421288,289.51805
20,0.495074779,289.60823,0.406514823,311.493325,0.453277743,289.541064
21,0.498662889,289.6112622,0.401605904,311.476256,0.450643653,289.57013
25,0.493392259,289.6233908,0.394391358,311.504152,0.451039845,289.551296
28,0.491031528,289.6324872,0.389704108,311.509601,0.447343254,289.564788
31,0.488069743,289.6415836,0.391562402,311.520303,0.450576881,289.536175
39,0.492803872,289.6658408,0.388867617,311.504434,0.440521324,289.547743
43,0.490205765,289.6779693,0.383367449,311.496028,0.439925757,289.521233
52,0.48897469,289.7052586,0.377709419,311.472797,0.431042871,289.534968
53,0.486751109,289.7082908,0.371533603,311.503346,0.433235246,289.569989
56,0.488034308,289.7173872,0.372476935,311.483,0.430661282,289.547237
59,0.48095569,289.7264836,0.368751913,311.49159,0.430109409,289.564716
61,0.481588185,289.7325479,0.368280888,311.49677,0.434658986,289.555986
62,0.479887396,289.7355801,0.366751611,311.485289,0.431582639,289.541616
64,0.476115525,289.7416444,0.363588125,311.495584,0.432034349,289.565655
66,0.480556756,289.7477087,0.366587371,311.478112,0.43244383,289.526924
67,0.480638176,289.7507408,0.362014145,311.49945,0.429281566,289.540614
70,0.477077782,289.7598372,0.360393286,311.445439,0.431415871,289.525844
71,0.479341745,289.7628694,0.363653392,311.459925,0.431012547,289.556569
73,0.471583426,289.7689337,0.359217316,311.481703,0.427815342,289.550814
76,0.479670107,289.7780301,0.357317269,311.485834,0.426429075,289.512971
79,0.486310482,289.7871265,0.373678863,311.48716,0.423771119,289.572123
81,0.485745817,289.7931908,0.373491794,311.487406,0.423414963,289.552803
83,0.485876888,289.7992551,0.369026512,311.48331,0.419633135,289.548319
86,0.487992376,289.8083515,0.373646885,311.470489,0.427660877,289.539853
91,0.485620946,289.8235122,0.369463831,311.46216,0.423320174,289.57676
94,0.482937545,289.8326087,0.348874122,311.45531,0.425115934,289.555386
98,0.486054331,289.8447373,0.348582417,311.460736,0.441805884,289.546009
99,0.482566476,289.8477694,0.349127799,311.428635,0.440238574,289.545682
101,0.481461465,289.8538337,0.356225908,311.464057,0.433885264,289.536569
102,0.480793923,289.8568658,0.349318236,311.414999,0.445631903,289.567479
105,0.470849246,289.8659623,0.347395837,311.415031,0.440096021,289.561758
110,0.469959229,289.881123,0.338870496,311.43013,0.42226702,289.55937
111,0.471805424,289.8841551,0.3376908,311.420945,0.43487573,289.553533
112,0.470698446,289.8871873,0.336346865,311.414954,0.439856902,289.557877
114,0.470187753,289.8932516,0.33360368,311.404434,0.428712332,289.557975
115,0.466577679,289.8962837,0.331620514,311.415252,0.413744035,289.528033
120,0.464675158,289.9114444,0.329598934,311.402454,0.418345988,289.556056
123,0.466906905,289.9205408,0.33087033,311.383402,0.415238515,289.587718
127,0.465410888,289.9326694,0.330043793,311.411542,0.411918232,289.567061
129,0.466002226,289.9387337,0.327053487,311.369631,0.412748662,289.577256
132,0.461280525,289.9478301,0.32329002,311.375559,0.41134854,289.608325
135,0.463906169,289.9569266,0.322589099,311.378208,0.402861363,289.596579
139,0.461348712,289.94493,0.319442421,311.332415,0.408132157,289.585798
149,0.453259319,289.96117,0.308966756,311.316324,0.406941709,289.606338
155,0.485823244,289.964948,0.314226329,311.262371,0.400549555,289.613236
158,0.482172459,289.979755,0.313095778,311.296197,0.402435771,289.641126
171,0.457690537,290.006005,0.305005223,311.250465,0.399619296,289.628753
176,0.455623776,290.015247,0.302817047,311.223325,0.403880537,289.667923
179,0.456109762,290.013175,0.294867724,311.223958,0.399335328,289.655052
186,0.452236325,290.010161,0.28862527,311.175348,0.39642286,289.664932
191,0.448364914,290.067468,0.292330712,311.147364,0.394430149,289.705105
194,0.451143056,290.058048,0.290089607,311.116757,0.38830643,289.687153
201,0.445658028,290.110592,0.283679545,311.088173,0.381102389,289.719646
206,0.443724632,290.122988,0.277532071,311.056751,0.38589704,289.712564
213,0.455296189,290.151583,0.277884513,311.043452,0.385051739,289.7417
216,0.451347083,290.159762,0.287534922,311.025965,0.382867047,289.772628
218,0.451377064,290.143923,0.284922332,310.969692,0.379158074,289.774434
220,0.451032728,290.136835,0.282783926,311.015034,0.376338276,289.790049
224,0.44893679,290.154839,0.279770941,310.949522,0.377720022,289.768492
225,0.448205024,290.187479,0.268249571,310.967816,0.381390423,289.768285
229,0.439544588,290.173445,0.27549398,310.930405,0.38421728,289.809656
236,0.44262296,290.218598,0.266896099,310.882009,0.395974687,289.826974
239,0.437200129,290.232008,0.264391989,310.890849,0.386961555,289.83576
241,0.437169462,290.271538,0.26015982,310.838598,0.383102494,289.838454
244,0.439091235,290.227835,0.262329429,310.852432,0.382498333,289.852819
