Time (sec),Abs,Temperature
0,0.461204797,289.966023
1,0.461348712,289.94493
2,0.461437523,289.934224
3,0.460923284,289.934224
4,0.458222538,289.9386
5,0.460105121,289.9386
6,0.459536612,289.900331
7,0.454040408,289.979564
8,0.459473699,289.979564
9,0.469819099,289.979564
10,0.456154555,289.950078
11,0.453259319,289.96117
12,0.452531725,289.96117
13,0.478700668,289.96117
14,0.476213276,289.964288
15,0.482379019,289.964288
16,0.484747976,289.964948
17,0.485823244,289.964948
18,0.485458463,289.964948
19,0.454593271,289.962151
20,0.482172459,289.979755
21,0.452395022,289.962481
22,0.453849107,289.962481
23,0.471165836,289.99326
24,0.479211181,289.99326
25,0.473007441,289.966157
26,0.469802082,289.966157
27,0.470293582,289.966157
28,0.463003665,290.001726
29,0.462413013,290.001726
30,0.465644121,290.001726
31,0.4593831,290.027859
32,0.459831178,290.027859
33,0.457690537,289.993942
34,0.461608201,289.993942
35,0.4551045,290.018601
36,0.451730549,290.018601
37,0.450503439,290.018601
38,0.455623776,290.015247
39,0.452486366,290.027411
40,0.453142166,290.027411
41,0.456109762,290.013175
42,0.452046931,290.022131
43,0.451732993,290.022131
44,0.4540748,290.031138
45,0.453002811,290.031138
46,0.448163956,290.049774
47,0.446419567,290.053814
48,0.452236325,290.010161
49,0.451684803,290.010161
50,0.454798669,290.053242
51,0.450992495,290.053242
52,0.451719433,290.077771
53,0.448364914,290.067468
54,0.453208923,290.067468
55,0.450194001,290.065366
56,0.451143056,290.058048
57,0.446957558,290.058048
58,0.447099239,290.084051
59,0.447128803,290.066558
60,0.444393337,290.107404
61,0.445523024,290.107404
62,0.446275294,290.075716
63,0.445658028,290.110592
64,0.445309997,290.050849
65,0.447148442,290.103554
66,0.445903629,290.103554
67,0.441770017,290.113309
68,0.443724632,290.122988
69,0.445277542,290.099552
70,0.445310533,290.099552
71,0.448054075,290.114425
72,0.44752568,290.114425
73,0.449214518,290.114425
74,0.449341118,290.139225
75,0.455296189,290.151583
76,0.449845612,290.139428
77,0.450308353,290.139428
78,0.451347083,290.159762
79,0.451958686,290.159762
80,0.451377064,290.143923
81,0.450544983,290.136835
82,0.451032728,290.136835
83,0.448317915,290.120787
84,0.450101405,290.120787
85,0.446797192,290.161355
86,0.44893679,290.154839
87,0.448205024,290.187479
88,0.447521299,290.187479
89,0.443307757,290.187479
90,0.439930886,290.172467
91,0.439544588,290.173445
92,0.440946668,290.19741
