Time,Abs,Temperature
0,0.564617932,289.485265
25,0.495621592,289.5539447
50,0.490591556,289.6226244
75,0.471583426,289.6913041
100,0.486054331,289.7599839
125,0.466906905,289.8286636
150,0.456154555,289.8973433
175,0.461204797,289.966023
200,0.473007441,289.966157
225,0.454798669,290.053242
250,0.455296189,290.151583
275,0.433977813,290.23672
300,0.426622897,290.321905
325,0.435174644,290.446781
350,0.420234442,290.568168
375,0.418605387,290.744761
400,0.41179046,290.878764
425,0.396274149,291.092786
450,0.417269886,291.246791
475,0.387295574,291.440094
500,0.377817333,291.622568
525,0.378833413,291.862007
550,0.371737093,292.08324
575,0.364053547,292.340361
600,0.357610017,292.588888
625,0.36532566,292.860454
650,0.345469385,293.11092
675,0.338734001,293.468885
700,0.336421073,293.743048
725,0.335449576,294.003283
750,0.319526553,294.363626
775,0.316529036,294.665274
800,0.309775978,295.023539
825,0.299815565,295.324758
850,0.300392985,295.666849
875,0.291533947,296.009144
900,0.288638413,296.323483
925,0.275781155,296.669479
950,0.279465199,297.019626
975,0.27449739,297.369683
1000,0.260819107,297.700066
1025,0.256136358,298.070085
1050,0.248010024,298.370254
1075,0.251049191,298.676214
1100,0.248343736,299.040913
1125,0.239418656,299.30161
1150,0.232201681,299.642506
1175,0.225129232,299.909548
1200,0.216833785,300.201022
1225,0.21364145,300.452034
1250,0.215202794,300.699779
1275,0.209455729,301.002036
1300,0.202707663,301.217261
1325,0.19493939,301.482517
1350,0.192124829,301.711817
1375,0.184432596,301.968806
1400,0.181369409,302.195789
1425,0.191488445,302.402474
1450,0.175074652,302.627688
1475,0.17157504,302.905366
1500,0.168260619,303.05472
1525,0.162123278,303.340602
1550,0.159637615,303.635642
1575,0.15687114,303.861954
1600,0.155216709,304.176941
1625,0.152963221,304.440464
1650,0.151532292,304.717087
1675,0.147591591,305.053901
1700,0.141805649,305.36769
1725,0.139854044,305.72426
1750,0.13860327,306.063436
1775,0.137248278,306.379
1800,0.133756355,306.736493
1825,0.131363988,307.040829
1850,0.130535126,307.404619
1875,0.136668727,307.73563
1900,0.123854712,308.068686
1925,0.133971661,308.440078
1950,0.126451761,308.790717
1975,0.12541838,309.153038
2000,0.120390177,309.491994
2025,0.120462559,309.840062
2050,0.121439487,310.15119
2075,0.121351443,310.509317
2100,0.121099539,310.791509
2125,0.118908875,311.094617
2150,0.118318327,311.342197
2175,0.121594206,311.672985
2200,0.121936597,311.908978
2225,0.123135023,312.228146
2250,0.121593311,312.477954
2275,0.121278293,312.760183
2300,0.118806429,312.966158
2325,0.118047088,313.244601
2350,0.115888357,313.427356
2375,0.120447427,313.663196
2400,0.121827714,313.897029
2425,0.119959556,314.112661
2450,0.123238497,314.307548
2475,0.120671257,314.54949
2500,0.120492823,314.737864
2525,0.122409634,314.924788
2550,0.12042433,315.123241
2575,0.121573687,315.314955
2600,0.121566564,315.445053
2625,0.12347953,315.62551
2650,0.127967507,315.837306
2675,0.1291226,316.02163
2700,0.128293499,316.155906
2725,0.129450366,316.314043
2750,0.128727213,316.451221
2775,0.128761306,316.609659
2800,0.130364716,316.749767
2825,0.131180093,316.893877
2850,0.132447079,317.004202
2875,0.131904692,317.116442
2900,0.132915914,317.264027
2925,0.134237632,317.428541
2950,0.132220984,317.549627
2975,0.130929142,317.652211
3000,0.132901505,317.751335
3025,0.134526581,317.865243
3050,0.1359559,317.971247
3075,0.136043772,318.063749
3100,0.138122335,318.197374
3125,0.138094902,318.307708
3150,0.139838144,318.409104
3175,0.13991423,318.493563
3200,0.140350089,318.591915
3225,0.141851127,318.680865
3250,0.139790744,318.777409
3275,0.143241748,318.848867
3300,0.143001646,318.938637
3325,0.141437054,319.036277
3350,0.139387563,319.127121
3375,0.141927928,319.186273
3400,0.141266614,319.250505
3425,0.14098528,319.325348
3450,0.142634586,319.402608
3475,0.140600562,319.437649
3500,0.141344577,319.50424
3525,0.140494347,319.587088
3550,0.140795261,319.67931
3575,0.142938077,319.71402
3600,0.142027348,319.807492
3625,0.141847611,319.835199
3650,0.14354296,319.875176
3675,0.143937796,319.958052
3700,0.144102827,319.997133
3725,0.142358661,320.049416
3750,0.145583823,320.087769
3775,0.140778869,320.110231
3800,0.141927272,320.211379
3825,0.142418578,320.262448
3850,0.143587336,320.278882
3875,0.144105822,320.334964
3900,0.146894604,320.382289
3925,0.147326484,320.417494
3950,0.153126195,320.497111
3975,0.142848373,320.467408
4000,0.15368928,320.541113
4025,0.146443397,320.584081
