Sample 1,,
Time (min),Abs,
0.008333333768,0.002482869662,
0.02500000037,0.003595179878,
0.04166666791,0.005343975499,
0.05833333358,0.01234920695,
0.07500000298,0.004643805791,
0.09166666865,0.01343480311,
0.1083333343,0.01361893304,
0.125,0.03909338266,
0.1416666806,0.3175584376,
0.1583333462,0.5848544836,
0.1750000119,0.7586110234,
0.1916666776,0.6066460609,
0.2083333433,0.5093457103,
0.2250000089,0.8841629624,
0.2416666746,1.145565033,
0.2583333254,1.105706453,
0.275000006,0.9855986238,
0.2916666567,0.8253740668,
0.3083333373,0.7467893362,
0.3249999881,0.6539881229,
0.3416666687,0.6263785362,
0.3583333194,0.5797845721,
0.375,0.5646179318,
0.3916666508,0.5309484601,
0.4083333313,0.5279423594,
0.4249999821,0.50761199,
0.4416666627,0.5009573102,
0.4583333135,0.4987352788,
0.474999994,0.4974355996,
0.4916666448,0.499702096,
0.5083333254,0.4962860346,
0.5249999762,0.4989541173,
0.5416666865,0.4981190562,
0.5583333373,0.4946427941,
0.5749999881,0.4984707236,
0.5916666389,0.5008679628,
0.6083333492,0.498508811,
0.625,0.4946902096,
0.6416666508,0.4966837168,
0.6583333015,0.4955960214,
0.6750000119,0.500018239,
0.6916666627,0.4995461702,
0.7083333135,0.4998455346,
0.7249999642,0.4960083663,
0.7416666746,0.4950747788,
0.7583333254,0.498662889,
0.7749999762,0.4915761352,
0.7916666865,0.4956215918,
0.8083333373,0.4964257479,
0.8249999881,0.4933922589,
0.8416666389,0.4942034781,
0.8583333492,0.4895843267,
0.875,0.4910315275,
0.8916666508,0.4932115972,
0.9083333015,0.4945531189,
0.9250000119,0.4880697429,
0.9416666627,0.4885051847,
0.9583333135,0.488692224,
0.9749999642,0.4878346026,
0.9916666746,0.4827323258,
1.008333325,0.4866828024,
1.024999976,0.4900948107,
1.041666627,0.4888865948,
1.058333278,0.4928038716,
1.075000048,0.4909007847,
1.091666698,0.4880191386,
1.108333349,0.4917236567,
1.125,0.4902057648,
1.141666651,0.4886844754,
1.158333302,0.4871089756,
1.174999952,0.488234818,
1.191666603,0.4871048629,
1.208333373,0.4905915558,
1.225000024,0.4860284626,
1.241666675,0.4798333049,
1.258333325,0.4860033691,
1.274999976,0.4889746904,
1.291666627,0.4867511094,
1.308333278,0.4841931164,
1.325000048,0.4825342298,
1.341666698,0.488034308,
1.358333349,0.4896655977,
1.375,0.4874823987,
1.391666651,0.4809556901,
1.408333302,0.4808536172,
1.424999952,0.4815881848,
1.441666603,0.4798873961,
1.458333373,0.4773879349,
1.475000024,0.4761155248,
1.491666675,0.4776135087,
1.508333325,0.4805567563,
1.524999976,0.4806381762,
1.541666627,0.4808190167,
1.558333278,0.4794763029,
1.575000048,0.4770777822,
1.591666698,0.4793417454,
1.608333349,0.4797167778,
1.625,0.471583426,
1.641666651,0.4759269655,
1.658333302,0.4767157435,
1.674999952,0.4796701074,
1.691666603,0.4851957262,
1.708333373,0.4826563299,
1.725000024,0.486310482,
1.741666675,0.4824010134,
1.758333325,0.4857458174,
1.774999976,0.485109508,
1.791666627,0.485876888,
1.808333278,0.484752804,
1.825000048,0.4880278409,
1.841666698,0.4879923761,
1.858333349,0.4870305657,
1.875,0.4875757098,
1.891666651,0.4875457585,
1.908333302,0.4885190427,
1.924999952,0.4856209457,
1.941666603,0.4901601076,
1.958333373,0.4821552932,
1.975000024,0.4829375446,
1.991666675,0.4871371984,
2.008333445,0.4844532013,
2.025000095,0.4794343412,
2.041666746,0.4860543311,
2.058333397,0.4825664759,
2.075000048,0.4766712189,
2.091666698,0.4814614654,
2.108333349,0.4807939231,
2.125,0.4761224687,
2.141666889,0.4746037126,
2.15833354,0.4708492458,
2.175000191,0.4782441258,
2.191666842,0.4770591855,
2.208333492,0.4768300951,
2.225000143,0.4719960093,
2.241666794,0.4699592292,
2.258333445,0.4718054235,
2.275000095,0.470698446,
2.291666746,0.4708845615,
2.308333397,0.4701877534,
2.325000048,0.4665776789,
2.341666698,0.4637487829,
2.358333349,0.4667158127,
2.375,0.4646398425,
2.391666889,0.4691037834,
2.40833354,0.4646751583,
2.425000191,0.4610363543,
2.441666842,0.4667856097,
2.458333492,0.4669069052,
2.475000143,0.4660632014,
2.491666794,0.464733541,
2.508333445,0.4662285149,
2.525000095,0.4654108882,
2.541666746,0.4647772014,
2.558333397,0.4660022259,
2.575000048,0.4657005668,
2.591666698,0.4649903774,
2.608333349,0.4612805247,
2.625,0.4622265995,
2.641666889,0.462890923,
2.65833354,0.4639061689,
2.675000191,0.461920917,
2.691666842,0.4589529932,
2.708333492,0.461204797,
2.725000143,0.4613487124,
2.741666794,0.4614375234,
2.758333445,0.4609232843,
2.775000095,0.4582225382,
2.791666746,0.4601051211,
2.808333397,0.459536612,
2.825000048,0.4540404081,
2.841666698,0.4594736993,
2.858333349,0.4698190987,
2.875,0.4561545551,
2.891666889,0.4532593191,
2.90833354,0.4525317252,
2.925000191,0.4787006676,
2.941666842,0.4762132764,
2.958333492,0.4823790193,
2.975000143,0.4847479761,
2.991666794,0.4858232439,
3.008333445,0.4854584634,
3.025000095,0.454593271,
3.041666746,0.4821724594,
3.058333397,0.4523950219,
3.075000048,0.453849107,
3.091666698,0.4711658359,
3.108333349,0.4792111814,
3.125,0.4730074406,
3.141666889,0.4698020816,
3.15833354,0.4702935815,
3.175000191,0.4630036652,
3.191666842,0.462413013,
3.208333492,0.4656441212,
3.225000143,0.4593831003,
3.241666794,0.4598311782,
3.258333445,0.457690537,
3.275000095,0.4616082013,
3.291666746,0.4551045001,
3.308333397,0.4517305493,
3.325000048,0.4505034387,
3.341666698,0.4556237757,
3.358333349,0.452486366,
3.375,0.4531421661,
3.391666889,0.4561097622,
3.40833354,0.4520469308,
3.425000191,0.4517329931,
3.441666842,0.4540748,
3.458333492,0.4530028105,
3.475000143,0.4481639564,
3.491666794,0.4464195669,
3.508333445,0.4522363245,
3.525000095,0.4516848028,
3.541666746,0.4547986686,
3.558333397,0.4509924948,
3.575000048,0.4517194331,
3.591666698,0.4483649135,
3.608333349,0.4532089233,
3.625,0.4501940012,
3.641666889,0.4511430562,
3.65833354,0.4469575584,
3.675000191,0.4470992386,
3.691666842,0.4471288025,
3.708333492,0.4443933368,
3.725000143,0.4455230236,
3.741666794,0.4462752938,
3.758333445,0.4456580281,
3.775000095,0.4453099966,
3.791666746,0.4471484423,
3.808333397,0.4459036291,
3.825000048,0.4417700171,
3.841666698,0.4437246323,
3.858333349,0.4452775419,
3.875,0.445310533,
3.891666889,0.4480540752,
3.90833354,0.4475256801,
3.925000191,0.4492145181,
3.941666842,0.4493411183,
3.958333492,0.4552961886,
3.975000143,0.449845612,
3.991666794,0.4503083527,
4.008333206,0.4513470829,
4.025000095,0.4519586861,
4.041666508,0.451377064,
4.058333397,0.4505449831,
4.074999809,0.451032728,
4.091666698,0.4483179152,
4.108333111,0.4501014054,
4.125,0.4467971921,
4.141666412,0.4489367902,
4.158333302,0.448205024,
4.174999714,0.4475212991,
4.191666603,0.4433077574,
4.208333015,0.439930886,
4.224999905,0.4395445883,
4.241666317,0.4409466684,
4.258333206,0.4407098591,
4.275000095,0.4413165152,
4.291666508,0.4395345449,
4.308333397,0.4380668998,
4.324999809,0.439896822,
4.341666698,0.4426229596,
4.358333111,0.4347777367,
4.375,0.4339778125,
4.391666412,0.437200129,
4.408333302,0.4364335239,
4.424999714,0.4371694624,
4.441666603,0.4373024702,
4.458333015,0.437894702,
4.474999905,0.4390912354,
4.491666317,0.4358535707,
4.508333206,0.4375942945,
4.525000095,0.4336318076,
4.541666508,0.4342811406,
4.558333397,0.4373939037,
4.574999809,0.4335789084,
4.591666698,0.4347824156,
4.608333111,0.4341286421,
4.625,0.4361799657,
4.641666412,0.4315043092,
4.658333302,0.4320918918,
4.674999714,0.4297196567,
4.691666603,0.4314955473,
4.708333015,0.430798471,
4.724999905,0.4251253307,
4.741666317,0.429123491,
4.758333206,0.4283183515,
4.775000095,0.4286649823,
4.791666508,0.4266228974,
4.808333397,0.4287783802,
4.824999809,0.4248585105,
4.841666698,0.4231203794,
4.858333111,0.4408936501,
4.875,0.4311714172,
4.891666412,0.4518862963,
4.908333302,0.4478414357,
4.924999714,0.45139575,
4.941666603,0.4503052533,
4.958333015,0.4481950402,
4.974999905,0.4475366771,
4.991666317,0.4515192807,
5.008333206,0.4267299771,
5.025000095,0.4194102585,
5.041666508,0.4243149459,
5.058333397,0.4297741055,
5.074999809,0.4508965611,
5.091666698,0.4317400753,
5.108333111,0.4371519685,
5.125,0.4287186265,
5.141666412,0.432802856,
5.158333302,0.4306842685,
5.174999714,0.4343405962,
5.191666603,0.4252291322,
5.208333015,0.435174644,
5.224999905,0.4281834364,
5.241666317,0.4297452271,
5.258333206,0.4258465469,
5.275000095,0.4261550903,
5.291666508,0.4251757264,
5.308333397,0.4247251153,
5.324999809,0.4254243672,
5.341666698,0.4296553135,
5.358333111,0.4218507707,
5.375,0.4226937592,
5.391666412,0.424064666,
5.408333302,0.4205542803,
5.424999714,0.4219698012,
5.441666603,0.4220013916,
5.458333015,0.4211206138,
5.474999905,0.4197795391,
5.491666317,0.4191759527,
5.508333206,0.4224088192,
5.525000095,0.4206100106,
5.541666508,0.4203165174,
5.558333397,0.4223103523,
5.574999809,0.4206282198,
5.591666698,0.4188961685,
5.608333111,0.4212296605,
5.625,0.4202344418,
5.641666412,0.4198498428,
5.658333302,0.4189526737,
5.674999714,0.4170312881,
5.691666603,0.4197241068,
5.708333015,0.4214096069,
5.724999905,0.4153421223,
5.741666317,0.4169458151,
5.758333206,0.4162715077,
5.775000095,0.4134915471,
5.791666508,0.4146099985,
5.808333397,0.4170865119,
5.824999809,0.4151359797,
5.841666698,0.4156160355,
5.858333111,0.4118781984,
5.875,0.4121081233,
5.891666412,0.4186369479,
5.908333302,0.4160679579,
5.924999714,0.4109724462,
5.941666603,0.4120082259,
5.958333015,0.4192344248,
5.974999905,0.4208684862,
5.991666317,0.4167391062,
6.008333206,0.4189999104,
6.025000095,0.4177990854,
6.041666508,0.4186053872,
6.058333397,0.4154188633,
6.074999809,0.4215941727,
6.091666698,0.4193507433,
6.108333111,0.4179656208,
6.125,0.4166456163,
6.141666412,0.4214370549,
6.158333302,0.4187212586,
6.174999714,0.4176687598,
6.191666603,0.4199762344,
6.208333015,0.4174703658,
6.224999905,0.4180420339,
6.241666317,0.4130299687,
6.258333206,0.4177972674,
6.275000095,0.4140684307,
6.291666508,0.412168026,
6.308333397,0.414383322,
6.324999809,0.4116302431,
6.341666698,0.4103754163,
6.358333111,0.410885483,
6.375,0.4095621705,
6.391666412,0.4123104811,
6.408333302,0.4092742205,
6.424999714,0.4103488624,
6.441666603,0.4119032919,
6.458333015,0.4117904603,
6.474999905,0.4067172408,
6.491666317,0.4043100178,
6.508333206,0.4075232446,
6.525000095,0.4021877348,
6.541666508,0.4049696624,
6.558333397,0.4048252702,
6.574999809,0.4033752382,
6.591666698,0.4006415308,
6.608333111,0.4010971189,
6.625,0.4026495218,
6.641666412,0.4041585326,
