Time (min),Abs
0.000833333,0.008904607
0.0025,0.007545411
0.004166667,0.009224909
0.005833334,0.004801919
0.0075,0.004891311
0.009166667,0.006395103
0.010833334,0.010942197
0.0125,0.009520099
0.014166667,0.007289649
0.015833333,0.005611705
0.0175,0.010491805
0.019166667,0.080791384
0.020833334,0.080990881
0.022500001,0.241749153
0.024166666,0.144996584
0.025833333,0.084742635
0.0275,0.091507472
0.029166667,0.218331173
0.030833334,0.329667002
0.032499999,0.851812542
0.034166668,0.773601115
0.035833336,0.657023728
0.037500001,0.559370816
0.039166667,0.353722185
0.040833335,0.288195759
0.0425,0.309656739
0.044166669,0.461931616
0.045833334,0.713253379
0.047499999,0.73325491
0.049166668,0.81929636
0.050833333,1.006424189
0.052500002,0.996018767
0.054166667,0.871175766
0.055833332,0.877813757
0.057500001,0.705092609
0.059166666,0.683265507
0.060833335,0.657351613
0.0625,0.745270729
0.064166665,0.856581688
0.065833338,0.961255014
0.067500003,1.21021378
0.069166668,1.040863276
0.07083334,1.085739613
0.072500005,0.974324822
0.07416667,0.839439809
0.075833336,0.805450082
0.077500001,0.698927403
0.079166673,0.939920306
0.080833338,1.235767365
0.082500003,1.311700702
0.084166668,1.30859971
0.085833333,1.058587313
0.087500006,1.084605336
0.089166671,1.07639122
0.090833336,1.0637995
0.092500001,1.189450264
0.094166666,1.277076602
0.095833339,1.260664105
0.097500004,1.301131368
0.099166669,1.323092699
0.100833334,1.090068817
0.102499999,1.058781147
0.104166672,1.09774816
0.105833337,1.190741301
0.107500002,1.138221025
0.109166667,1.214180946
0.110833332,1.125558019
0.112500005,1.091756582
0.11416667,1.141085505
0.115833335,1.10039711
0.1175,0.929546654
0.119166665,0.994758666
0.120833337,1.035800934
0.122500002,0.871070564
0.124166668,0.829591334
0.125833333,1.029115796
0.127499998,0.931831062
0.129166678,0.943733454
0.130833343,0.973800302
0.132500008,0.940117002
0.134166673,0.851641536
0.135833338,0.943684697
0.137500003,0.973166347
0.139166668,0.834563077
0.140833348,0.748007119
0.142499998,0.830189884
0.144166678,0.788358092
0.145833328,0.713487923
0.147500008,0.843909442
0.149166673,0.889255226
0.150833339,0.852940619
0.152500004,0.768891871
0.154166669,0.764788032
0.155833334,0.621750236
0.157500014,0.729442418
0.159166664,0.678996682
0.160833344,0.737833083
0.162499994,0.635475159
0.164166674,0.721404135
0.165833339,0.688564479
0.167500004,0.602158904
0.169166669,0.587690949
0.170833334,0.608037174
0.172499999,0.620667279
0.174166679,0.581632197
0.17583333,0.59848845
0.17750001,0.626606047
0.17916666,0.60812968
0.18083334,0.603821456
0.182500005,0.646042764
0.18416667,0.589035511
0.185833335,0.59033674
0.1875,0.572286785
0.189166665,0.50735426
0.190833345,0.548767507
0.192499995,0.625957012
0.194166675,0.592332482
0.195833325,0.584005296
0.197500005,0.587338686
0.19916667,0.576513827
0.200833336,0.54245621
0.202500001,0.536456764
0.204166666,0.50872612
0.205833331,0.508717477
0.207500011,0.513760865
0.209166661,0.504362762
0.210833341,0.540938735
0.212499991,0.523238957
0.214166671,0.530784965
0.215833336,0.526408494
0.217500001,0.51978451
0.219166666,0.490298748
0.220833331,0.507882655
0.222499996,0.498054117
0.224166676,0.481603563
0.225833327,0.499349892
0.227500007,0.502601981
0.229166657,0.492369622
0.230833337,0.50735873
0.232500002,0.506705701
0.234166667,0.470725805
0.235833332,0.470614404
0.237499997,0.491053104
0.239166662,0.464161307
0.240833342,0.465677381
0.242499992,0.471490175
0.244166672,0.488619328
0.245833322,0.490942508
0.247500002,0.476302803
