Sample 1,,
Time (min),Abs,
0.008333333768,-0.001968869474,
0.02500000037,-0.0005475053913,
0.04166666791,0.2200181484,
0.05833333358,0.4236848056,
0.07500000298,0.6959617138,
0.09166666865,0.6771411896,
0.1083333343,0.8272159696,
0.125,1.04479754,
0.1416666806,0.9730598927,
0.1583333462,0.8299845457,
0.1750000119,0.723921895,
0.1916666776,0.6377713084,
0.2083333433,0.5533357263,
0.2250000089,0.5103437901,
0.2416666746,0.4876170754,
0.2583333254,0.4558626413,
0.275000006,0.4358220994,
0.2916666567,0.4324162304,
0.3083333373,0.4286869168,
0.3249999881,0.4196161628,
0.3416666687,0.417336762,
0.3583333194,0.4146033525,
0.375,0.4121013284,
0.3916666508,0.4139936566,
0.4083333313,0.4130034745,
0.4249999821,0.4112356305,
0.4416666627,0.4113252163,
0.4583333135,0.4072590172,
0.474999994,0.4113124311,
0.4916666448,0.4111281633,
0.5083333254,0.4084657431,
0.5249999762,0.4087221026,
0.5416666865,0.4103839993,
0.5583333373,0.412437886,
0.5749999881,0.4084175527,
0.5916666389,0.406608969,
0.6083333492,0.4056285918,
0.625,0.4059719443,
0.6416666508,0.4073913097,
0.6583333015,0.4062018394,
0.6750000119,0.4078231454,
0.6916666627,0.4067893922,
0.7083333135,0.4074955285,
0.7249999642,0.4043176174,
0.7416666746,0.4055202007,
0.7583333254,0.4009745121,
0.7749999762,0.4003374577,
0.7916666865,0.4035335779,
0.8083333373,0.3984570205,
0.8249999881,0.3993143141,
0.8416666389,0.4019407034,
0.8583333492,0.3958225548,
0.875,0.3978152871,
0.8916666508,0.3947158158,
0.9083333015,0.3979993165,
0.9250000119,0.393969506,
0.9416666627,0.3911174238,
0.9583333135,0.3903243542,
0.9749999642,0.3928065598,
0.9916666746,0.3913583457,
1.008333325,0.3881542087,
1.024999976,0.3880178034,
1.041666627,0.389391005,
1.058333278,0.3860834539,
1.075000048,0.3813708723,
1.091666698,0.3824987113,
1.108333349,0.3818853796,
