Sample 1,,
Time (min),Abs,
0.0008333333535,0.0006284221308,
0.002499999944,0.005292928312,
0.004166666884,5.824381788E-006,
0.005833333824,0.00129280379,
0.007500000298,-0.001034154673,
0.009166667238,0.000250622601,
0.01083333418,-0.0003449229407,
0.01250000019,0.003258631565,
0.01416666713,0.003254250158,
0.01583333313,0.001579089789,
0.01750000007,0.002426144434,
0.01916666701,0.001540640718,
0.02083333395,-0.0001199390172,
0.02250000089,0.003072636202,
0.02416666597,0.003311240114,
0.02583333291,0.003196172416,
0.02749999985,0.002740764525,
0.02916666679,-2.868070624E-005,
0.03083333373,0.008483773097,
0.03249999881,0.0138766868,
0.03416666761,0.08609543741,
0.03583333641,0.05472526699,
0.03750000149,0.06349472702,
0.03916666657,0.04852844402,
0.04083333537,0.07836803794,
0.04250000045,0.1158663854,
0.04416666925,0.3471144736,
0.04583333433,0.8091402054,
0.0474999994,0.7147171497,
0.04916666821,0.510658741,
0.05083333328,0.4428803027,
0.05250000209,0.471378535,
0.05416666716,0.3089402616,
0.05583333224,0.3649601936,
0.05750000104,0.486535579,
0.05916666612,0.5078991055,
0.06083333492,0.498467952,
0.0625,0.6061900258,
0.06416666508,0.9331264496,
0.0658333376,0.9143943191,
0.06750000268,0.9610908628,
0.06916666776,1.015693426,
0.07083334029,0.7502521873,
0.07250000536,0.8852104545,
0.07416667044,0.7678329945,
0.07583333552,0.7135875821,
0.0775000006,0.7748004794,
0.07916667312,0.8123484254,
0.0808333382,0.956017077,
0.08250000328,1.066013336,
0.08416666836,1.380555749,
0.08583333343,1.287899613,
0.08750000596,1.089917779,
0.08916667104,0.9306575656,
0.09083333611,0.8128837943,
0.09250000119,0.6673905849,
0.09416666627,0.7859408259,
0.0958333388,1.143734932,
0.09750000387,1.250435233,
0.09916666895,1.390957952,
0.100833334,1.320607066,
0.1024999991,1.220945716,
0.1041666716,1.117829919,
0.1058333367,1.011394024,
0.1075000018,1.002470493,
0.1091666669,1.075262427,
0.1108333319,1.168906689,
0.1125000045,1.176926494,
0.1141666695,1.406263113,
0.1158333346,1.344299793,
0.1174999997,1.24607718,
0.1191666648,1.210533619,
0.1208333373,1.150799513,
0.1225000024,1.065169334,
0.1241666675,1.055272579,
