Time temp,Abs,Reactor Temperature (C)
0,0.487159336,289.57471
2,0.470125395,289.555132
4,0.454623899,289.585791
5,0.456585932,289.565228
6,0.452429697,289.536563
8,0.44833737,289.533678
11,0.451366878,289.545346
12,0.454366407,289.532199
13,0.449286893,289.571875
14,0.454479516,289.578202
16,0.45421288,289.51805
19,0.451128566,289.528313
20,0.453277743,289.541064
21,0.450643653,289.57013
23,0.449820027,289.577168
25,0.451039845,289.551296
27,0.447640437,289.544447
28,0.447343254,289.564788
30,0.447186551,289.582588
31,0.450576881,289.536175
33,0.447440454,289.549466
35,0.443863103,289.536668
38,0.441753164,289.569538
39,0.440521324,289.547743
41,0.440204301,289.526749
43,0.439925757,289.521233
48,0.434216318,289.535513
50,0.432325524,289.569518
52,0.431042871,289.534968
53,0.433235246,289.569989
54,0.435197571,289.543373
56,0.430661282,289.547237
59,0.430109409,289.564716
61,0.434658986,289.555986
62,0.431582639,289.541616
63,0.434208795,289.555446
64,0.432034349,289.565655
66,0.43244383,289.526924
67,0.429281566,289.540614
68,0.428343767,289.574127
69,0.427508432,289.575029
70,0.431415871,289.525844
71,0.431012547,289.556569
73,0.427815342,289.550814
75,0.4221856,289.550482
76,0.426429075,289.512971
77,0.428807092,289.524354
79,0.423771119,289.572123
81,0.423414963,289.552803
83,0.419633135,289.548319
85,0.42420747,289.550216
86,0.427660877,289.539853
88,0.41944744,289.553854
89,0.423624247,289.551111
91,0.423320174,289.57676
93,0.429999214,289.524843
94,0.425115934,289.555386
96,0.432896355,289.556861
97,0.437382188,289.566993
98,0.441805884,289.546009
99,0.440238574,289.545682
101,0.433885264,289.536569
102,0.445631903,289.567479
103,0.44127945,289.553182
105,0.440096021,289.561758
106,0.436547208,289.541736
108,0.435876822,289.553078
109,0.437673196,289.566956
110,0.42226702,289.55937
111,0.43487573,289.553533
112,0.439856902,289.557877
114,0.428712332,289.557975
115,0.413744035,289.528033
117,0.423974025,289.579378
118,0.418008769,289.574162
120,0.418345988,289.556056
122,0.415568912,289.555201
123,0.415238515,289.587718
127,0.411918232,289.567061
128,0.414455345,289.600037
129,0.412748662,289.577256
132,0.41134854,289.608325
135,0.402861363,289.596579
136,0.40848026,289.570549
139,0.408132157,289.585798
141,0.404773167,289.608127
142,0.403794751,289.612593
145,0.40865404,289.58828
147,0.40591062,289.605849
149,0.406941709,289.606338
151,0.403356117,289.602524
154,0.400212562,289.619215
155,0.400549555,289.613236
157,0.398085973,289.587473
158,0.402435771,289.641126
160,0.398529825,289.626448
162,0.399291244,289.598765
164,0.393702614,289.638943
167,0.399364978,289.644698
169,0.404689568,289.640627
170,0.401875708,289.648217
171,0.399619296,289.628753
172,0.402427709,289.635397
174,0.401864415,289.644909
175,0.401041058,289.719305
176,0.403880537,289.667923
178,0.402662638,289.66755
179,0.399335328,289.655052
180,0.400482887,289.642927
181,0.400854349,289.690572
183,0.398491248,289.670452
186,0.39642286,289.664932
188,0.395278135,289.676841
189,0.391710809,289.696401
191,0.394430149,289.705105
192,0.392778572,289.682144
194,0.38830643,289.687153
195,0.389391682,289.69676
198,0.382511485,289.732645
199,0.389313924,289.720799
201,0.381102389,289.719646
205,0.382769415,289.746204
206,0.38589704,289.712564
208,0.387617359,289.744344
211,0.384394395,289.726875
213,0.385051739,289.7417
215,0.383628875,289.734549
216,0.382867047,289.772628
218,0.379158074,289.774434
220,0.376338276,289.790049
221,0.379991087,289.754705
222,0.378778967,289.756948
224,0.377720022,289.768492
225,0.381390423,289.768285
226,0.382747677,289.773865
227,0.377733523,289.792134
229,0.38421728,289.809656
231,0.391909218,289.774185
232,0.39264299,289.805614
235,0.39540838,289.824995
236,0.395974687,289.826974
237,0.393956625,289.818105
239,0.386961555,289.83576
241,0.383102494,289.838454
243,0.380559424,289.858859
244,0.382498333,289.852819
247,0.37991513,289.878575
249,0.375730217,289.878318
251,0.372658569,289.877391
253,0.372720999,289.899025
255,0.371933356,289.874272
258,0.371433264,289.933179
260,0.36555309,289.895372
261,0.364534396,289.895372
263,0.367509294,289.920385
265,0.365934807,289.93064
266,0.365412402,289.930858
267,0.366917768,289.985012
269,0.366758907,289.96052
270,0.364022431,289.950379
271,0.363383645,289.962928
